"","X","x0","dx","maxslope","range.10.90","Snake","Muscle","Species","Genotype","MAMU","Long","Lat","SVLmm","MusMassg","BodMassg","Sex","DtExp","DtColl","DInBet"
"1","CRF2630_M1",1.66644277598347e-30,2140.2601218522,-1.16776219140054e-05,Inf,"CRF2630","M1","couchii","T",100,-119.247356,36.934489,NA,71,"6.8","","15-Dec-15","6-Apr-15","253"
"2","CRF2631_M1",0.033286655840903,-50878.7845959647,4.91363937246973e-07,Inf,"CRF2631","M1","couchii","T",175,-119.247356,36.934489,NA,80.6,"22.8","","17-Dec-15","6-Apr-15","255"
"3","CRF2633_M1",9.4262847666885e-31,1306.08661923448,-1.91268406974318e-05,Inf,"CRF2633","M1","couchii","T",100,-119.247356,36.934489,NA,19.9,NA,"","22-Jun-15","6-Apr-15","77"
"4","CRF2633_M3",3.01357384168823e-29,2034.10910904437,-1.22869622454136e-05,Inf,"CRF2633","M3","couchii","T",100,-119.247356,36.934489,NA,8.5,NA,"","22-Jun-15","6-Apr-15","77"
"5","CRF2669_M1",0.023158586976843,-51458.5849279972,4.85827582473839e-07,Inf,"CRF2669","M1","couchii","T",82.5,-120.658378,39.442691,NA,39.5,"19.9","","21-Oct-15","30-May-15","144"
"6","CRF2670_M1",1.3106885749154e-23,71.1533661417364,-0.000303700110588251,1.03529990916859e+45,"CRF2670","M1","couchii","T",82,-120.658378,39.442691,NA,12.3,"7.2","","9-Nov-15","30-May-15","163"
"7","CRF2671_M1",7.76890675327951e-28,169.727036283127,-0.000142067385681119,7.09762306325835e+134,"CRF2671","M1","couchii","T",17,-120.658378,39.442691,NA,170,"50.9","","10-Dec-15","30-May-15","194"
"8","CRF2672_M1",57352821.0735354,8207657.08280198,-3.04593622123439e-09,Inf,"CRF2672","M1","couchii","T",32,-120.658378,39.442691,NA,40,"10.8","","19-Oct-15","30-May-15","142"
"9","CRF2673_M1",44484.5488296446,4.70299578064962,-0.00261405861950951,1367753029.48066,"CRF2673","M1","couchii","T",21.8,-120.658378,39.442691,NA,59.5,"22.4","","2-Nov-15","30-May-15","156"
"10","CRF2674_M1",117540654.129592,12414715.2958049,-2.01373929279208e-09,Inf,"CRF2674","M1","couchii","T",21.9,-120.658378,39.442691,NA,26.6,"5","","28-Sep-15","30-May-15","121"
