"","x0","dx","maxslope","range.10.90"
"CRF2630_M1",1.66644277598347e-30,2140.2601218522,-1.16776219140054e-05,Inf
"CRF2631_M1",0.033286655840903,-50878.7845959647,4.91363937246973e-07,Inf
"CRF2633_M1",9.4262847666885e-31,1306.08661923448,-1.91268406974318e-05,Inf
"CRF2633_M3",3.01357384168823e-29,2034.10910904437,-1.22869622454136e-05,Inf
"CRF2669_M1",0.023158586976843,-51458.5849279972,4.85827582473839e-07,Inf
"CRF2670_M1",1.3106885749154e-23,71.1533661417364,-0.000303700110588251,1.03529990916859e+45
"CRF2671_M1",7.76890675327951e-28,169.727036283127,-0.000142067385681119,7.09762306325835e+134
"CRF2672_M1",57352821.0735354,8207657.08280198,-3.04593622123439e-09,Inf
"CRF2673_M1",44484.5488296446,4.70299578064962,-0.00261405861950951,1367753029.48066
"CRF2674_M1",117540654.129592,12414715.2958049,-2.01373929279208e-09,Inf
"CRF2675_M1",0.0401295921445728,-150272.739313023,1.66364172942215e-07,Inf
"CRF2676_M1",2.23168436478993e-35,665.161989035954,-3.74420782939606e-05,Inf
"CRF2678_M1",8.72315835121768e+21,165.269514559501,-0.000148094236531946,4.44498258061352e+179
"CRF2679_M1",1.97587388005314e-33,486.19953542359,-5.10930846885263e-05,Inf
"CRF2680_M1",0.00719635371921731,-27554.9322585059,9.07278571196284e-07,Inf
"CRF2681_M1",1.73479683915503e-29,450.656898217797,-5.51551349050877e-05,Inf
"CRF3051_M1",3.81328228614213e-26,-51.0503224128596,0.000350040899635027,1.97554407308339e+23
"CRF3051_M2",5.26828141976098e-29,525.799772839316,-4.73517421289094e-05,Inf
"CRF3052_M1",8.34887784914892e-27,-156.162112963268,0.000153875680805565,8.67270672175055e+122
"CRF3055_M1",2009716.02508292,-4604752.26745798,5.42917372051311e-09,Inf
"CRF3056_M1",1.60443976160694e-30,349.198678784384,-7.08595430677106e-05,2.66407809935872e+303
"CRF3058_M1",67.761479573468,-0.616434001175963,0.00898726474847096,245.060411779883
"CRF3059_M1",4.35491065070542e-21,-224.202043005688,0.000110175613050215,3.82031688731322e+193
"CRF3060_M1",4.39354613415094e-25,-62.138107803302,0.000325126954997753,8.6624175322056e+34
"CRF3061_M1",0.00275663397875966,-63915.7698128871,3.91139776152406e-07,Inf
"CRF3064_M1",2.93127459884199e-26,-82.7606127414126,0.000264390559035304,2.75899739047922e+53
"CRF3065_M1",1.72076833241438e+22,73.6543476679886,-0.00030460998696776,3.31003018989845e+92
"CRF3069_M1",1.39615536781562e+22,123.445887669402,-0.000194841872832626,8.75482319806004e+139
"CRF3069_M3",5.61918241669149e+21,53.7929503538618,-0.000383919491077475,1.2055717612935e+73
"CRF3070_M1",2.43927916332987e-29,2841.33085335459,-8.79742707856215e-06,Inf
"CRF3074_M1",9.36130733405192e-20,-166.826827301432,0.000147029091703578,1.46078677836439e+140
"EJE182_M1",1.1740680072983e+22,44.0110183562779,-0.000425236921268388,1.1664814940444e+64
"EJE186_M1",1.2439092722247e+22,169.546791532773,-0.000144467358157557,7.64794092615734e+183
