"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2675_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF2681_M1","CRF3051_M1","CRF3051_M2","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3069_M1","CRF3069_M3","CRF3070_M1","CRF3074_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.0165190519645747,0.0162240497747064,0.0567511184253204,0.125713650631455,0.083754968934871,0.0201903375019722,0.049555882075634,0.0228526397798703,0.915586799330904,0.0414291972837981,0.0315135809674583,0.0494353165113824,0.0138790005859623,0.0212351323469145,0.0551193200569753,0.0326074116145971,0.0142204012468443,0.0792664638352922,0.0249332999234459,0.0823861335095811,0.0503506790467607,0.0626659898581554,0.0187292120511614,0.108788521591089,0.089886264155805,0.0115927329130501,0.0588088131057916,0.105707049082628,0.10163960714672,0.0198103919772787,0.0360621750408365,0.0273634549959468,0.0205161465800648
"3",20,0.0171241739104363,0.052906682165424,0.0604124588107559,0.123287996819577,0.0878595915482727,0.0184050303286425,0.0395573442838777,0.0479070613763394,0.858140069944648,0.0479126242825038,0.0294087724297226,0.047530019901188,0.0852428666813306,0.0250496086059562,0.0567753823713423,0.0438246516379812,0.128749510937755,0.0707348922507428,0.0223147804153464,0.0772500929531008,0.055890041728707,0.0536128284093867,0.0884456336599785,0.497297986997603,0.0909144505004792,0.020153220429338,0.120192745552549,0.190083672727089,0.0942707964360679,0.0178664638031441,0.0311608325333678,0.0438819925854067,0.0473234932891773
"4",30,0.0136457661720983,0.0171428899510172,0.154945337660139,0.127147319444645,0.0793816950412612,0.0234794585693946,0.0379140666994965,0.0284059863791265,0.608725265586457,0.0420973200327606,0.0316734781818851,0.0522170476815083,0.0147475146918506,0.0220023491429297,0.0559681232473844,0.0351371326502074,0.764631438208479,0.0741890600820679,0.493623482629464,0.0720112812987345,0.0509639076206392,0.118689607639925,0.422646323887406,0.648396468093667,0.0892997932538947,0.804403915945984,0.365835711169638,0.28367435759601,0.45522860766666,0.0182124145034557,0.0274557593898375,0.550102331627805,0.298351206630831
"5",40,0.0605903155131096,0.398132014416586,0.0699313459532993,0.133433233820678,0.171614523417825,0.0211803857674395,0.0469300813518657,0.237937544537307,0.83569594122187,0.0834762621428321,0.0659631950938724,0.081889507302286,0.28258404913372,0.108071936402036,0.0515859278056522,0.126576074730019,0.776870450443846,0.0981327498042011,0.404855996468171,0.13691582879401,0.060050709765376,0.292124960048175,0.559016601533006,0.867379917479597,0.0973869054544969,0.54594963088164,0.417539933834824,0.381770954185256,0.706226933652998,0.0580703567261414,0.64705168140121,0.64128347314586,0.49748515286881
"6",50,0.0531603032316979,0.247842006592506,0.25438146442219,0.146579161761021,0.24190584351311,0.0322712684438688,0.0509243209496645,0.21042182488489,0.973052240951952,0.0952839603021171,0.328570557967442,0.0761915694394131,0.405842502776083,0.0333555803287318,0.060902999554946,0.0353800314009609,0.869673061815195,0.0887546034189176,0.71046480651347,0.158123436188129,0.111707203035744,0.436488447117364,0.634357018745523,0.847629531555727,0.130873256743057,0.932718084877981,0.637948742444854,0.471223919505526,0.732349871114672,0.143705707850382,0.517262688027446,0.788252034150237,0.55178610285493
"7",60,0.250756884668584,0.542800847637664,0.137083798411762,0.188299607688243,0.563618400805945,0.0209460057736876,0.221055685293339,0.421661930982214,0.603015353574082,0.300599607666261,0.27697424359992,0.28245064019791,0.512041033179849,0.28626871201501,0.0694935132045272,0.413061673086025,0.806642811960597,0.475964723880285,0.73842735756718,0.342976092689924,0.186506729955158,0.514054201267005,0.657366314388015,0.868475946383758,0.36172994868037,0.907148851940981,0.606603827331939,0.570575064200715,0.7391547650567,0.220630070247211,0.890808208690182,0.78188886238779,0.57824291475954
"8",70,0.364805425567889,0.440847292841798,0.350365554661548,0.211783683817324,0.515065063329228,0.0400229324732264,0.175945796760993,0.413347955850384,1,0.479918547262692,0.712356975196719,0.239596233730153,0.6865776259796,0.133276487624164,0.754488182766965,0.0778209132056164,0.866170821434645,0.446910520945911,0.829919018151675,0.278131805192892,0.210750388263724,0.54395602343645,0.779317184695476,0.843269498710457,0.608212103748487,0.942017388652858,0.79094811989259,0.63370789695134,0.771456829562413,0.301570793795856,0.858159892012589,0.847202272990024,0.609074391539849
"9",80,0.426917924974304,0.658542874365708,0.390820446298556,0.363322843494662,0.697032904962407,0.0268250952699171,0.273457679973356,0.607396851941882,0.856988036880567,0.537659198834611,0.502708035982916,0.599391940072713,0.652292533503874,0.559388565789763,0.521328486201716,0.607529238643171,0.866077624118836,0.650794301228754,0.816610108319878,0.617034550707883,0.417743778299942,0.565578423768479,0.866368458703011,0.85077329705112,0.727248374002331,0.944571742668666,0.797791346519282,0.65606249289656,0.802500507777052,0.564223389695879,0.868026987038711,0.879682292265128,0.632954167817617
"10",90,0.678648498228562,0.512046191044691,0.560169733536869,0.586984401839116,0.670204221415802,0.244762051077503,0.392590291728153,0.594238155515225,0.770660608308118,0.714968392071105,0.788737420397007,0.521441091042453,0.773290065966709,0.406387579939362,0.981668275049427,0.349786208094348,0.881953530353879,0.594489491126591,0.841966640395996,0.682590746563575,0.386198065278777,0.641704771906984,0.874136263553285,0.88315119474586,0.762306659759021,0.95135651006201,0.810401906168776,0.667237672417501,0.794316359825336,0.664093519200423,0.868877389320984,0.893608641776215,0.644259401284418
