"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF2681_M1","CRF3051_M1","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3066_M1","CRF3069_M3","CRF3070_M1","CRF3074_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.0122942355659201,0.013013789484479,0.0597084651237204,0.128288470975285,0.0982629449098431,0.0150235062776644,0.0501278391685514,0.024447704276248,0.0234948692535916,0.0419102923563592,0.0436048148330481,0.0125696854025583,0.0196882846527103,0.0462214628615164,0.0280740851537523,0.012520702879474,0.019509715192622,0.0996590565853148,0.0512667731209193,0.0571191724197547,0.0190206506617743,0.0428263009010636,0.0899576523147793,0.012078474144529,0.0770587934819448,0.0664123172521558,0.100930019280196,0.0186673219852315,0.0283337162674207,0.0273909816571775,0.0145898087742544
"3",20,0.0132924287392569,0.0187454925202798,0.0561123576550555,0.127052022060271,0.0839706490159713,0.012680238856824,0.0503600272419338,0.028630797296357,0.0202714805195494,0.0451879005344509,0.0394807064349252,0.0126459821901031,0.0190347462192475,0.0436247787886178,0.0311310552300594,0.451503474451804,0.0264364718512763,0.0814381656894512,0.0483929617266673,0.0623689265541414,0.114872153904343,0.181547899054398,0.100847392048137,0.146500775991483,0.302480564050983,0.252891410618925,0.116717540038491,0.0183228781370612,0.0222593627341522,0.169781812963997,0.030932954163217
"4",30,0.0140070403837003,0.137723706781575,0.0622005175366524,0.136508230739695,0.107436622921184,0.0139129899875815,0.0407628350810255,0.145852464060451,0.0229150616838426,0.0375094868726005,0.0479739525484917,0.0120608239007961,0.0232111471928271,0.0591761157510178,0.0360573573783326,0.367348504072076,0.0823417142825994,0.0748113466673627,0.0528804515743244,0.0835546389663983,0.429081499821995,0.764410509722836,0.0826373225035819,0.148749347017082,0.240650252227098,0.799816233292391,0.389052044769842,0.0176241723345833,0.182006105469754,0.560540810886177,0.273243431001589
"5",40,0.0118477438911018,0.146501086496947,0.247014178811372,0.123546249237119,0.105714092676273,0.0305102554629298,0.0515064554077851,0.0715557667821687,0.0200203023651609,0.0345683701897525,0.0500261399006964,0.282122502583055,0.0199082092401205,0.0464437117011691,0.0407525638126186,0.825570447668518,0.620510652523068,0.0869808837916761,0.0495251966853822,0.196575221096422,0.555949646343686,0.724488214707365,0.0988430061258132,0.89352758906838,0.427541552312349,0.684119908259673,0.645555696798086,0.0255576834772122,0.126552910137678,0.661288550438811,0.4617521749475
"6",50,0.107292454812424,0.477459755564388,0.0840692380106757,0.117238173423251,0.432249464976229,0.0160662238490695,0.0817755100438611,0.295534532563729,0.0225099169057322,0.179337669425489,0.0552669247051135,0.272445007268595,0.131658672294171,0.0511182226035162,0.201012280426362,0.810111726753225,0.510885663606659,0.303045928351035,0.0533444995407956,0.373094729372018,0.646268129566508,0.894604678298185,0.130117593929696,0.666994221740215,0.540913817841411,0.841611774765788,0.715014816088291,0.138898697115351,0.757845268178701,0.742874055055248,0.551989149038503
"7",60,0.0689726769337514,0.333644646934123,0.272661490511293,0.164022094508128,0.385158943306543,0.0327752684373911,0.197567151468954,0.294850736850499,0.027141864385968,0.111958114022706,0.223495211548807,0.496578420724771,0.0812685316568414,0.222081518462943,0.0468998294283506,0.887726669310839,0.691950479615471,0.139960973732014,0.154369512442611,0.445732546384778,0.661356084204809,0.884997440020484,0.371684731643672,0.921797673779663,0.648381266600812,0.797543604826592,0.737181899124083,0.20607490496258,0.816500780691814,0.765024542078711,0.580794091990217
"8",70,0.332076545445056,0.559018499846141,0.114060460453538,0.278137348062327,0.685646465266726,0.0187971729185732,0.257923902875278,0.498567987309445,0.0341893671118139,0.476842184749178,0.211477659355863,0.616799033526534,0.433645200677668,0.300256586064613,0.481887917784246,0.873264404538734,0.705793819948021,0.420914194179715,0.309078182285723,0.584166642178954,0.765826115625955,0.885438597274326,0.616791761834809,0.901342816107603,0.677876218682749,0.851903017003529,0.734304279428314,0.326601329574376,0.877948735369041,0.817874848738051,0.597343070195126
"9",80,0.510714159430603,0.480282892639251,0.510143267498551,0.28908890696084,0.692841233488321,0.147026724481646,0.386729782966265,0.506769839493996,0.0803880883111241,0.632849166460037,0.579140792168166,0.64068595096447,0.201542237951557,0.85210895949808,0.133136888105939,0.90396753710584,0.758491692432892,0.341864344612895,0.199390918354194,0.573314396746559,0.865042368259884,0.904381124280131,0.687774530301471,0.922885280852446,0.774035383971517,0.848131942039626,0.759174951493113,0.565504685944518,0.890618391943713,0.87014705096448,0.615136096761267
"10",90,0.471619595926427,0.66035834331265,0.582351627778687,0.457958051246318,0.753699812104847,0.0535621785050203,0.401029669418203,0.642306057722522,0.09100132940594,0.633498973351735,0.439206354636593,0.784866655369032,0.654405452263606,0.755910432556053,0.601821589388802,0.91494789713205,0.751601409223958,0.653008952970963,0.565748121167282,0.683028784575898,0.876434507888639,0.874230398863929,0.764835637441282,0.924964324580955,0.786423414528783,0.887043304852303,0.762163578356587,0.671734358394817,0.891615091878181,0.891335934020874,0.637739298745223
