"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2675_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF2681_M1","CRF3051_M1","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3066_M1","CRF3069_M3","CRF3070_M1","CRF3074_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.00556537336149793,0.00463819457473485,0.121191320799121,0.0397447690416091,0.00832000781053809,0.00899820424101743,0.00592190672631677,0.00787927648809725,0.00687072659132127,0.00536078442432388,0.0053044033365147,0.00642725291037681,0.00545134102204659,0.0047730233104935,0.00485781100025893,0.00546517483267134,0.00412805801160779,0.00473555791340032,0.0309579823589664,0.0253215125234297,0.020927170387734,0.0097801003036905,0.0622179367461554,0.0211426233832378,0.00326617844068495,0.00856292713205366,0.0120449405903517,0.0310742058379223,0.00843502587429859,0.0323769638440127,0.00919106698962987,0.00742875649100689
"3",20,0.00431760278513745,0.0050168665205971,0.123895735044609,0.0424488479103907,0.0370577013583959,0.010343982684162,0.00593304794480047,0.0458561646075795,0.00590997839842706,0.0051997549391933,0.00567540093922511,0.00542766220237073,0.00537179030810598,0.00483817537356417,0.00504700989299578,0.0053206852855747,0.186689810779745,0.0612928104628959,0.0357709579974035,0.0233792371190853,0.0195237975987384,0.00913861288215597,0.593644330036008,0.0214792719600126,0.103122432799506,0.308435313931092,0.402147896906288,0.0208119485883885,0.00720019712502975,0.12391700414117,0.0392391976253351,0.063152087906105
"4",30,0.00735593205640555,0.128810395982103,0.150205402767208,0.0431956636292798,0.136058288157306,0.00982956884853184,0.00414267087320502,0.279546471761423,0.00659641748097406,0.00480772854396072,0.00548022611388275,0.0066236614873553,0.435599727953672,0.00437193292031462,0.00453867046303168,0.0353219162958475,0.653632377585256,0.578965017786704,0.02618417823831,0.0249869981545624,0.0505530895058187,0.0831423689531224,0.862013715402417,0.0222872283810842,0.633738557813507,0.665180417039564,0.859573516481192,0.566776436940958,0.00925501576224866,0.0560623552456235,0.547064165839302,0.376992318525707
"5",40,0.175584081013043,0.442859209712041,0.178526411641621,0.0395196881233931,0.395382784701266,0.0213288563007751,0.0108934485058023,0.628581730131641,0.00811971636577523,0.140547485830057,0.0669438021523578,0.0706200218297663,0.656268808381322,0.121300033605096,0.0286608256994079,0.324180391898128,0.974359357171543,0.779867445320483,0.0512128918226422,0.087271893276474,0.173711863965121,0.378575808890839,0.986546005426374,0.0671160183889292,0.966037603332898,0.775094977645502,1,0.828614653929228,0.0235141259426371,0.765077879813041,0.673626057685119,0.59570710374016
"6",50,0.493389065281661,0.630705782856345,0.273715922362893,0.0463132357925272,0.821912619605408,0.0201202730818002,0.0779432867504464,0.799808305834997,0.00570638955591809,0.389418621323503,0.224748245269661,0.155506127553778,0.84656972272558,0.301404860276957,0.134401639582747,0.487223878603111,1,0.943905241785201,0.194854897269557,0.0981586427879523,0.280725942259865,0.533522428651988,1,0.132432618668255,1,0.888381758358784,0.979419857901447,0.934227337136531,0.20034111211353,0.450269844018177,0.709117192914937,0.798732837932154
"7",60,0.719331331776505,0.675491312272202,0.296063070091789,0.0906195759994602,0.927236035578973,0.0187448023800914,0.152265184417368,0.993339698410944,0.00751397437729299,0.638602083269429,0.38416139158356,0.444486752332015,0.94877970253035,0.495988744135692,0.584357633755591,0.846176229031504,0.989076716247789,1,0.343940608963652,0.218665283617258,0.374104065839534,0.652102273148417,0.995246752701677,0.295148699839338,0.689118149437202,0.93571256662451,0.94159404183535,0.92551640551369,0.306070637695459,0.928336062079275,0.777853490859913,0.78351918673014
"8",70,0.852205291352184,0.65811046536832,0.463386824304511,0.128439067070305,1,0.0592205701247542,0.272879383389113,1,0.00941573227667585,0.821183704713155,0.580402394107247,0.61527554558815,0.979417942810829,0.598520117961842,0.76808488985409,0.963717973694263,0.95810308958649,0.98551555733701,0.479840050762835,0.319283058746874,0.468880032003668,0.786745244069502,0.993075358744447,0.557620372210991,0.539919101459669,0.958957122449858,0.920289967502231,0.942790026427776,0.497335873670114,0.870619682877174,0.843647890906908,0.755557848555224
"9",80,0.923840883018978,0.717069457886227,0.53149668832923,0.267923487494565,0.999250705115136,0.152127375863532,0.415731477518138,0.991283763017367,0.0272325621863113,0.851829243813232,0.659867627672576,0.814686985456876,1,0.757860534241968,0.898585896228084,1,0.957498873028484,0.971318151325075,0.714139888667395,0.430750146303116,0.48284060142855,0.877102908362103,0.978141520749077,0.623457908277433,0.320709027298065,0.965994487805907,0.901287349354387,0.939387791702097,0.56302557641621,0.903122270020548,0.86975538175226,0.757939580674794
"10",90,0.963238296134335,0.698238999521056,0.675133446339678,0.570025679780572,0.989983797409727,0.218821162278494,0.479975750807039,0.943698359130475,0.056584427284338,0.860934396550081,0.721218758358045,0.885703269235952,0.965865917650409,0.77924513881859,0.949179211729352,0.952144970069576,0.940372138711197,0.954915173708148,0.783137688830155,0.634518956924226,0.548488606145413,0.937779975341973,0.971373229833697,0.681410249375037,0.311626310901993,0.968140895822154,0.885926706392995,0.946475008441697,0.750598209457088,0.895460066685191,0.917160328091767,0.758662819414477
"11",100,0.934755299821041,0.691042785729022,0.730737818847825,0.656285150264738,0.976084558344504,0.297620576926375,0.520223072522301,0.799862800815154,0.0928154874700242,0.870763525363684,0.688873588929783,0.925693336316054,0.958754604399932,0.842035769246135,0.956845231477164,0.903968280220165,0.913538501326074,0.924479497169416,0.832475799585103,0.693846683727239,0.602134353487694,0.94598265837025,0.963567144115929,0.686111668573679,0.302968410223646,0.967038336112264,0.874789386433532,0.952550553125031,0.826876053234381,0.902470578658518,0.928976719478733,0.765728733643859
"12",200,1,0.80827326084422,0.837727080597929,0.7962852988477,0.975145171901324,0.519894763199465,0.719338149636329,0.659104251641275,0.360598270567851,1,0.812198422406685,0.931668393976563,0.97487781378087,0.927508414408335,0.982258249488492,0.878043069973676,0.894838836070426,0.893515812786221,0.942669575996799,0.803254185727976,0.62586512503694,0.942753899995001,0.963892555688171,0.73499873560788,0.297208471617015,0.975119429616876,0.868671629988925,0.944870232065905,0.880000277228201,0.906292873864275,0.951835485356757,0.7742735175763
"13",300,0.964064784577021,0.914809605000414,0.924958932127478,0.92839955291011,0.992628983178078,0.983840482982584,0.872150355231096,0.477048154332729,1,0.978861540979314,0.934961351421214,0.977690491855782,0.900700597095132,1,0.992569731234722,0.834737497114311,0.865754155895535,0.877931531073015,0.991208651247538,0.855933741429359,0.775864264384961,0.967318000961029,0.953208940843954,0.83451413571373,0.293174029600339,0.989470407463728,0.861726963533901,0.962625112337298,0.965880855652928,0.960475318901202,0.961424981468475,0.782611974931163
"14",400,0.928328556642028,0.961313853306672,0.955416162390259,0.980882853752358,0.99741419101376,1,0.976325533619753,0.501541346022325,0.729655798050148,0.95173775515799,0.991251798524485,0.999874934615555,0.878402665968606,0.987295599201996,1,0.78793240218231,0.842215690557125,0.864671760503939,0.993632398909642,0.884395484559265,0.948283275193356,0.993432459631166,0.947059049560215,0.910860348215119,0.286894254376279,0.991508948885144,0.856579522893534,0.982722319739001,0.989172113384596,0.969978441813778,0.98170795230675,0.889189086352695
"15",500,0.886815108322827,0.992256557383331,0.998090963410897,1,0.987017185221626,0.964203155706937,1,0.503193443666099,0.699148406886886,0.896215561165438,1,1,0.845575119205259,0.952125087435863,0.998280222299169,0.762580406531695,0.817703036592607,0.856015485849313,1,0.929709766131738,0.998411312973657,1,0.924917425595245,0.95020412440769,0.283534822599301,0.992431581554763,0.8557350968055,0.985938786552851,0.997839030374134,0.986855260492271,0.992773429209856,0.944404620605556
"16",600,0.853619286229455,1,1,0.978481643708955,0.980148220148254,0.934313647779808,0.999304556559714,0.49551780402929,0.684728553074947,0.845118784365736,0.995797616232455,0.998056914453403,0.817399710189645,0.914847605494658,0.991955158863249,0.740049527540496,0.796507663166312,0.845304813162176,0.995980995956736,1,1,0.996744689773259,0.897058472443219,1,0.275273258714481,1,0.848182941248151,1,1,1,1,1
