Museum #,Snake,Lab,Locality,Watershed,"County, State",Latitude,Longitude,50_MAMU,IC50 
no voucher,EDBjr21343,3.03,Hat Creek,Lower Pit,"Shasta, CA",40.8175,-121.491389,1.71,NA
no voucher,EDBjr21343,3.031,Hat Creek,Lower Pit,"Shasta, CA",40.8175,-121.491389,2.21,NA
no voucher,EDBjr21343,3.032,Hat Creek,Lower Pit,"Shasta, CA",40.8175,-121.491389,1.42,NA
no voucher,EDBjr21343,3.033,Hat Creek,Lower Pit,"Shasta, CA",40.8175,-121.491389,1.44,NA
UTA 57031,EDBjr21342,3.034,Deer Creek,Battle Creek,"Shasta, CA",40.702222,-121.716667,1.7,NA
UTA 57030,EDBjr21341,3.035,Deer Creek,Battle Creek,"Shasta, CA",40.702222,-121.716667,2.19,NA
CAS 237608,EDBjr21951,5.145,Devils Corral,Honey Eagle Lakes,"Lassen, CA",40.570833,-120.959167,NA,NA
no voucher,TcDUC,TcDUC,Devils Corral,Honey Eagle Lakes,"Lassen, CA",40.570833,-120.959167,NA,NA
CAS 236832,EDBjr21371,4.044,Rock Creek,Battle Creek,"Shasta, CA",40.455156,-121.857494,3.1,NA
no voucher,EDBjr21372,4.045,Rock Creek,Battle Creek,"Shasta, CA",40.455156,-121.857494,2.65,NA
CAS 236826,EDBjr21365,4.037,Battle Creek,Battle Creek,"Shasta, CA",40.44692,-121.86821,3.24,NA
CAS 236827,EDBjr21366,4.038,Battle Creek,Battle Creek,"Shasta, CA",40.44692,-121.86821,2.52,NA
CAS 236828,EDBjr21367,4.039,Battle Creek,Battle Creek,"Shasta, CA",40.44692,-121.86821,3.2,NA
CAS 236829,EDBjr21368,4.04,Battle Creek,Battle Creek,"Shasta, CA",40.44692,-121.86821,2.64,NA
CAS 236830,EDBjr21369,4.041,Battle Creek,Battle Creek,"Shasta, CA",40.44692,-121.86821,3.81,NA
CAS 236831,EDBjr21370,4.042,Battle Creek,Battle Creek,"Shasta, CA",40.44692,-121.86821,2.95,NA
UNR 00982,CRF3051,16.068,Williams Creek,Honey Eagle Lakes,"Lassen, CA",40.39627,-120.77225,3.3,293.7775073
UNR 10042,CRF3052,16.069,Williams Creek,Honey Eagle Lakes,"Lassen, CA",40.39627,-120.77225,3.3,62.10070772
UNR 09958,CRF3056,16.073,Williams Creek,Honey Eagle Lakes,"Lassen, CA",40.39627,-120.77225,5,42.41226223
no voucher,CRF3053,16.07,Williams Creek,Honey Eagle Lakes,"Lassen, CA",40.39627,-120.77225,3.2,NA
no voucher,CRF3054,16.071,Williams Creek,Honey Eagle Lakes,"Lassen, CA",40.39627,-120.77225,2.7,NA
UNR 09978,CRF3055,16.072,Williams Creek,Honey Eagle Lakes,"Lassen, CA",40.39627,-120.77225,3.35,NA
UTA 56598,EDBjr21339,3.037,Antelope Creek,Battle Creek,"Shasta, CA",40.368056,-121.990278,1.28,NA
no voucher,no collector ID,3.038,Antelope Creek,Battle Creek,"Shasta, CA",40.368056,-121.990278,2.24,NA
UTA 56597,EDBjr21338,3.039,Antelope Creek,Battle Creek,"Shasta, CA",40.368056,-121.990278,1.97,NA
UNR 10053,CRF3058,16.075,Willard Creek,Honey Eagle Lakes,"Lassen, CA",40.36777,-120.80296,2.41,229.987272
UNR 10038,CRF3059,16.076,Willard Creek,Honey Eagle Lakes,"Lassen, CA",40.36777,-120.80296,0.1,47.12686379
UNR 09957,CRF3060,16.077,Willard Creek,Honey Eagle Lakes,"Lassen, CA",40.36777,-120.80296,3.14,269.4315918
UNR 10035,CRF3061,16.078,Willard Creek,Honey Eagle Lakes,"Lassen, CA",40.36777,-120.80296,3.76,93.52158923
CAS 237609,EDBjr21952,5.146,Devils Corral,Honey Eagle Lakes,"Lassen, CA",40.36777,-120.80296,7.17,NA
CAS 237610,EDBjr21953,5.147,Devils Corral,Honey Eagle Lakes,"Lassen, CA",40.36777,-120.80296,5.33,NA
