SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF2680,M1,10,50,0.055814964,
CRF2680,M1,20,50,0.041347745,
CRF2680,M1,30,50,0.056178539,
CRF2680,M1,40,50,0.039184803,
CRF2680,M1,50,50,0.050319813,
CRF2680,M1,60,50,0.107289386,
CRF2680,M1,70,50,0.183072133,
CRF2680,M1,80,50,0.802984417,
CRF2680,M1,90,50,0.561221823,
CRF2680,M1,100,50,0.801586076,
CRF2680,M1,200,50,0.755832963,
CRF2680,M1,300,50,0.796219543,
CRF2680,M1,400,50,0.802574612,
CRF2680,M1,500,50,0.805863862,
CRF2680,M1,600,50,0.822154975,
CRF2680,M1,10,100,0.04606537,
CRF2680,M1,20,100,0.047449406,
CRF2680,M1,30,100,0.046774748,
CRF2680,M1,40,100,0.043112376,
CRF2680,M1,50,100,0.050899017,
CRF2680,M1,60,100,0.058078445,
CRF2680,M1,70,100,0.630555262,
CRF2680,M1,80,100,0.435694591,
CRF2680,M1,90,100,0.820418544,
CRF2680,M1,100,100,0.695883941,
CRF2680,M1,200,100,0.818821495,
CRF2680,M1,300,100,0.825700192,
CRF2680,M1,400,100,0.800182269,
CRF2680,M1,500,100,0.823188178,
CRF2680,M1,600,100,0.835739083,
CRF2680,M1,10,200,0.060547198,
CRF2680,M1,20,200,0.046452459,
CRF2680,M1,30,200,0.047015744,
CRF2680,M1,40,200,0.04620401,
CRF2680,M1,50,200,0.078027015,
CRF2680,M1,60,200,0.207177905,
CRF2680,M1,70,200,0.236159982,
CRF2680,M1,80,200,0.800415111,
CRF2680,M1,90,200,0.72330516,
CRF2680,M1,100,200,0.83313607,
CRF2680,M1,200,200,0.804061544,
CRF2680,M1,300,200,0.826031766,
CRF2680,M1,400,200,0.822523613,
CRF2680,M1,500,200,0.848210444,
CRF2680,M1,600,200,0.846791691,
CRF2680,M1,10,500,0.037470376,
CRF2680,M1,20,500,0.04811541,
CRF2680,M1,30,500,0.042579127,
CRF2680,M1,40,500,0.041797729,
CRF2680,M1,50,500,0.062872794,
CRF2680,M1,60,500,0.061511424,
CRF2680,M1,70,500,0.405335984,
CRF2680,M1,80,500,0.641556024,
CRF2680,M1,90,500,0.853289791,
CRF2680,M1,100,500,0.760873072,
CRF2680,M1,200,500,0.854896924,
CRF2680,M1,300,500,0.827500809,
CRF2680,M1,400,500,0.85533043,
CRF2680,M1,500,500,0.867746984,
CRF2680,M1,600,500,0.858335158,
CRF2680,M1,10,1000,0.040826919,
CRF2680,M1,20,1000,0.038533296,
CRF2680,M1,30,1000,0.052269624,
CRF2680,M1,40,1000,0.041023229,
CRF2680,M1,50,1000,0.045152174,
CRF2680,M1,60,1000,0.196162207,
CRF2680,M1,70,1000,0.2652134,
CRF2680,M1,80,1000,0.752658642,
CRF2680,M1,90,1000,0.667687522,
CRF2680,M1,100,1000,0.857268732,
CRF2680,M1,200,1000,0.836082192,
CRF2680,M1,300,1000,0.855763583,
CRF2680,M1,400,1000,0.883289201,
CRF2680,M1,500,1000,0.87556973,
CRF2680,M1,600,1000,0.882443779,
CRF2680,M1,10,10000,0.04302779,
CRF2680,M1,20,10000,0.042274031,
CRF2680,M1,30,10000,0.040775461,
CRF2680,M1,40,10000,0.046164458,
CRF2680,M1,50,10000,0.224737969,
CRF2680,M1,60,10000,1.216972252,
CRF2680,M1,70,10000,1.11740039,
CRF2680,M1,80,10000,3.329534487,
CRF2680,M1,90,10000,1.979672281,
CRF2680,M1,100,10000,2.08452388,
CRF2680,M1,200,10000,3.951665951,
CRF2680,M1,300,10000,2.312219827,
CRF2680,M1,400,10000,2.369204115,
CRF2680,M1,500,10000,4.089198841,
CRF2680,M1,600,10000,2.428174914,
CRF2680,M1,10,50000,0.04452957,
CRF2680,M1,20,50000,0.046263879,
CRF2680,M1,30,50000,0.041604139,
CRF2680,M1,40,50000,0.262722087,
CRF2680,M1,50,50000,1.232004954,
CRF2680,M1,60,50000,5.356567836,
CRF2680,M1,70,50000,7.040720577,
CRF2680,M1,80,50000,8.236970019,
CRF2680,M1,90,50000,8.700738285,
CRF2680,M1,100,50000,8.771009558,
CRF2680,M1,200,50000,9.003960318,
CRF2680,M1,300,50000,9.098481461,
CRF2680,M1,400,50000,9.166591701,
CRF2680,M1,500,50000,9.150827201,
CRF2680,M1,600,50000,9.092847927,
