SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
EJE186,M1,10,50,0.064988334,
EJE186,M1,20,50,0.149096721,
EJE186,M1,30,50,1.034124075,
EJE186,M1,40,50,1.403515568,
EJE186,M1,50,50,1.640035118,
EJE186,M1,60,50,1.742739345,
EJE186,M1,70,50,1.799182953,
EJE186,M1,80,50,1.840327987,
EJE186,M1,90,50,1.946383858,
EJE186,M1,100,50,1.971395709,
EJE186,M1,200,50,1.979855881,
EJE186,M1,300,50,2.079318371,
EJE186,M1,400,50,2.475972741,
EJE186,M1,500,50,2.816880871,
EJE186,M1,600,50,3.120845043,
EJE186,M1,10,100,0.069566067,
EJE186,M1,20,100,0.16046431,
EJE186,M1,30,100,1.011648067,
EJE186,M1,40,100,1.686870648,
EJE186,M1,50,100,1.87099409,
EJE186,M1,60,100,1.960703741,
EJE186,M1,70,100,2.065246988,
EJE186,M1,80,100,2.146218437,
EJE186,M1,90,100,2.184552177,
EJE186,M1,100,100,2.238015901,
EJE186,M1,200,100,2.25908479,
EJE186,M1,300,100,2.354837123,
EJE186,M1,400,100,2.687169385,
EJE186,M1,500,100,3.124659456,
EJE186,M1,600,100,3.390795963,
EJE186,M1,10,200,0.068354468,
EJE186,M1,20,200,0.214427195,
EJE186,M1,30,200,0.936808781,
EJE186,M1,40,200,1.648701809,
EJE186,M1,50,200,2.001007225,
EJE186,M1,60,200,2.100426639,
EJE186,M1,70,200,2.235705053,
EJE186,M1,80,200,2.323160726,
EJE186,M1,90,200,2.371226931,
EJE186,M1,100,200,2.418376543,
EJE186,M1,200,200,2.475642958,
EJE186,M1,300,200,2.60763249,
EJE186,M1,400,200,2.935273228,
EJE186,M1,500,200,3.525113358,
EJE186,M1,600,200,3.6921512,
EJE186,M1,10,500,0.068666294,
EJE186,M1,20,500,0.132902059,
EJE186,M1,30,500,1.25562585,
EJE186,M1,40,500,1.838811632,
EJE186,M1,50,500,2.155682257,
EJE186,M1,60,500,2.287240669,
EJE186,M1,70,500,2.387845664,
EJE186,M1,80,500,2.459680409,
EJE186,M1,90,500,2.565014826,
EJE186,M1,100,500,2.62660871,
EJE186,M1,200,500,2.683379432,
EJE186,M1,300,500,2.776616315,
EJE186,M1,400,500,3.26082748,
EJE186,M1,500,500,4.015776154,
EJE186,M1,600,500,4.125410467,
EJE186,M1,10,1000,0.063066125,
EJE186,M1,20,1000,0.133711249,
EJE186,M1,30,1000,1.18112613,
EJE186,M1,40,1000,1.995976838,
EJE186,M1,50,1000,2.386036528,
EJE186,M1,60,1000,2.510549204,
EJE186,M1,70,1000,2.582084064,
EJE186,M1,80,1000,2.658996466,
EJE186,M1,90,1000,2.756701404,
EJE186,M1,100,1000,2.780778759,
EJE186,M1,200,1000,2.834454555,
EJE186,M1,300,1000,3.094707315,
EJE186,M1,400,1000,3.561611261,
EJE186,M1,500,1000,4.244553929,
EJE186,M1,600,1000,4.322614914,
EJE186,M1,10,10000,0.065950558,
EJE186,M1,20,10000,0.147595025,
EJE186,M1,30,10000,1.098101455,
EJE186,M1,40,10000,1.948045278,
EJE186,M1,50,10000,2.263827155,
EJE186,M1,60,10000,2.429331431,
EJE186,M1,70,10000,2.527684791,
EJE186,M1,80,10000,2.599701579,
EJE186,M1,90,10000,2.696727003,
EJE186,M1,100,10000,2.766510908,
EJE186,M1,200,10000,2.772119386,
EJE186,M1,300,10000,2.919955352,
EJE186,M1,400,10000,3.398466376,
EJE186,M1,500,10000,4.088727977,
EJE186,M1,600,10000,4.327048828,
EJE186,M1,10,50000,0.066767529,
EJE186,M1,20,50000,0.567592822,
EJE186,M1,30,50000,3.388298646,
EJE186,M1,40,50000,5.354044297,
EJE186,M1,50,50000,7.178781265,
EJE186,M1,60,50000,7.042045339,
EJE186,M1,70,50000,6.790736865,
EJE186,M1,80,50000,6.812143189,
EJE186,M1,90,50000,6.818643451,
EJE186,M1,100,50000,6.882149858,
EJE186,M1,200,50000,6.958947921,
EJE186,M1,300,50000,7.03389158,
EJE186,M1,400,50000,7.991776037,
EJE186,M1,500,50000,8.488037395,
EJE186,M1,600,50000,8.987712692,
