"","Snake","IC50","Rheobase","C4P","Tetanus"
"1","CRF3051","TRUE","TRUE","TRUE","TRUE"
"2","CRF3052","TRUE","TRUE","TRUE","TRUE"
"3","CRF3056","TRUE","TRUE","TRUE","TRUE"
"4","CRF3058","TRUE","TRUE","TRUE","TRUE"
"5","CRF3059","TRUE","TRUE","TRUE","TRUE"
"6","CRF3060","TRUE","TRUE","TRUE","TRUE"
"7","CRF3061","TRUE","TRUE","TRUE","TRUE"
"8","CRF3062","TRUE","FALSE","FALSE","FALSE"
"9","EJE163","TRUE","FALSE","FALSE","FALSE"
"10","EJE164","TRUE","FALSE","TRUE","FALSE"
"11","EJE171","TRUE","FALSE","FALSE","FALSE"
"12","EJE166","TRUE","FALSE","FALSE","FALSE"
"13","CRF3293","TRUE","FALSE","FALSE","FALSE"
"14","CRF3309","TRUE","FALSE","FALSE","FALSE"
"15","CRF3221","TRUE","FALSE","FALSE","FALSE"
"16","CRF3070","TRUE","TRUE","TRUE","TRUE"
"17","CRF3072","TRUE","FALSE","TRUE","FALSE"
"18","CRF3074","TRUE","FALSE","TRUE","TRUE"
"19","CRF3064","TRUE","TRUE","TRUE","TRUE"
"20","CRF3065","TRUE","TRUE","TRUE","TRUE"
"21","CRF3066","TRUE","FALSE","TRUE","TRUE"
"22","EJE186","TRUE","TRUE","TRUE","TRUE"
"23","EJE182","TRUE","TRUE","FALSE","TRUE"
"24","CRF3211","TRUE","FALSE","TRUE","FALSE"
"25","CRF3217","TRUE","FALSE","FALSE","TRUE"
"26","CRF2630","FALSE","TRUE","TRUE","TRUE"
"27","CRF2631","FALSE","TRUE","TRUE","TRUE"
"28","CRF2633","FALSE","TRUE","TRUE","TRUE"
"29","CRF2669","FALSE","TRUE","TRUE","TRUE"
"30","CRF2670","FALSE","TRUE","TRUE","TRUE"
"31","CRF2671","FALSE","TRUE","TRUE","TRUE"
"32","CRF2672","FALSE","TRUE","TRUE","TRUE"
"33","CRF2673","FALSE","TRUE","TRUE","TRUE"
"34","CRF2674","FALSE","TRUE","TRUE","TRUE"
"35","CRF2675","FALSE","TRUE","TRUE","TRUE"
"36","CRF2676","FALSE","TRUE","TRUE","TRUE"
"37","CRF2678","FALSE","TRUE","TRUE","TRUE"
"38","CRF2679","FALSE","TRUE","TRUE","TRUE"
"39","CRF2680","FALSE","TRUE","TRUE","TRUE"
"40","CRF2681","FALSE","TRUE","TRUE","TRUE"
"41","CRF3055","FALSE","TRUE","TRUE","TRUE"
"42","CRF3069","FALSE","TRUE","TRUE","FALSE"
"43","CRF2677","FALSE","FALSE","TRUE","TRUE"
