,INDIV,CollPreNo,locality
5,12.024,CRF2339,N Fork Mokelumne River
83,16.95,EJE153,Faucherie Lk.
87,16.99,EJE157,Faucherie Lk.
97,3.4,EDBjr21337,Antelope Creek
126,5.139,EDBjr21945,Devil's Corral
127,5.14,EDBjr21946,Devil's Corral
128,5.141,EDBjr21947,Devil's Corral
129,5.142,EDBjr21948,Devil's Corral
130,5.143,EDBjr21949,Devil's Corral
131,5.144,EDBjr21950,Devil's Corral
132,5.145,EDBjr21951,Devil's Corral
141,5.2,EDBjr22067,Leoni Meadows
156,5.68,EDBjr21593,Deep Creek
165,5.8,EDBjr21605,Deep Creek
185,7.048,EDBjr23525,S Fork American River
