CollPreNo,CollNo,CollPre,Genus,species,County,State,Latitude,Longitude,DateColl,Sex,Remarks,Stage,Local,Collector(s),Alt. ID,CollSpLocal,Tissues,Museum,CatNo,EcoData,Country,Class,OrderSub,Family,Continent,Skel,CollDateYear,CollDateMonth,CollDateDay,Elev,Tiss,Pres,IdDate,Pubs,GenBank,mass_g,SVL_mm,MASS2_g,TL_mm,MAMU,SVL_cm,baseline_ms,baseline_cms,TL_cm
CRF 4056,4056,CRF,Thamnophis,couchii,El Dorado,California,38.566892,-120.459787,21-May-24,F,,adult,"Pi Pi Picnic Area, Middle Fork Cosumnes River, El Dorado National Forest, El Dorado Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,150.6,724,158.2,238,7.488561267,72.4,1.4443,144.43,23.8
CRF 4057,4057,CRF,Thamnophis,couchii,El Dorado,California,38.566892,-120.459787,21-May-24,M,,juvenile,"Pi Pi Picnic Area, Middle Fork Cosumnes River, El Dorado National Forest, El Dorado Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,23,444,21.5,158,15.20230168,44.4,1.1323,113.23,15.8
CRF 4058,4058,CRF,Thamnophis,couchii,El Dorado,California,38.566892,-120.459787,21-May-24,M,,juvenile,"Pi Pi Picnic Area, Middle Fork Cosumnes River, El Dorado National Forest, El Dorado Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,4.9,254,5.4,88,11.41484015,25.4,1.2326,123.26,8.8
CRF 4059,4059,CRF,Thamnophis,couchii,El Dorado,California,38.566892,-120.459787,21-May-24,F,,juvenile,"Pi Pi Picnic Area, Middle Fork Cosumnes River, El Dorado National Forest, El Dorado Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,7,276,6.5,88,22.93198854,27.6,0.8141,81.41,8.8
CRF 4062,4062,CRF,Thamnophis,couchii,Amador,California,38.480818,-120.26713,22-May-24,F,,juvenile,"North Fork Mokelumne River, across from Moore Creek Campground, El Dorado National Forest, Amador Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,11.4,370,10,117,33.19308986,37,0.8601,86.01,11.7
CRF 4063,4063,CRF,Thamnophis,couchii,Placer ,California,39.308473,-120.245015,27-May-24,F,,subadult,"Cold Stream Ponds, ~500 m East of Cold Stream Drive, Tahoe National Forest, Placer Co., CA","C.R. Feldman, S.D. Babish, R.K. Murphy",,,,,,,,,,,,,,,,,,,,,,45.3,513,41.8,161,5.530482035,51.3,1.3234,132.34,16.1
CRF 4064,4064,CRF,Thamnophis,couchii,Placer ,California,39.308473,-120.245015,27-May-24,M,,subadult,"Cold Stream Ponds, ~500 m East of Cold Stream Drive, Tahoe National Forest, Placer Co., CA","C.R. Feldman, S.D. Babish, R.K. Murphy",,,,,,,,,,,,,,,,,,,,,,33.2,481,26.6,125,2.399289166,48.1,1.2326,123.26,12.5
CRF 4065,4065,CRF,Thamnophis,couchii,Placer ,California,39.308473,-120.245015,27-May-24,M,,subadult,"Cold Stream Ponds, ~500 m East of Cold Stream Drive, Tahoe National Forest, Placer Co., CA","C.R. Feldman, S.D. Babish, R.K. Murphy",,,,,,,,,,,,,,,,,,,,,,41.5,455,33.9,149,6.298839796,45.5,1.2595,125.95,14.9
CRF 4089,4089,CRF,Thamnophis,couchii,Placer ,California,39.295058,-120.434786,11-Jul-24,M,,,"Long Lake, Tahoe National Forest, Placer Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,54.7,582,,101,3.62797698,58.2,1.27,127,10.1
CRF 4090,4090,CRF,Thamnophis,couchii,Placer ,California,39.308473,-120.245015,11-Jul-24,M,,,"Cold Stream Ponds, ~500 m East of Cold Stream Drive, Tahoe National Forest, Placer Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,40.4,477,,158,3.21776748,47.7,0.9071,90.71,15.8
CRF 4091,4091,CRF,Thamnophis,couchii,Placer ,California,39.308473,-120.245015,11-Jul-24,M,,,"Cold Stream Ponds, ~500 m East of Cold Stream Drive, Tahoe National Forest, Placer Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,45,513,,178,3.399934665,51.3,1.41654,141.654,17.8
CRF 4092,4092,CRF,Thamnophis,couchii,Plumas,California,39.70167,-120.6637,12-Jul-24,M,,,"Grassy Lake, ~0.1 mi S. of Lakes Basin Campground, Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,22.4,413,,139,2.12019607,41.3,0.9918,99.18,13.9
CRF 4093,4093,CRF,Thamnophis,couchii,Plumas,California,39.70167,-120.6637,12-Jul-24,M,,,"Grassy Lake, ~0.1 mi S. of Lakes Basin Campground, Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,31.3,475,,148,1.956977766,47.5,1.19529,119.529,14.8
CRF 4094,4094,CRF,Thamnophis,couchii,Plumas,California,39.717727,-120.659984,12-Jul-24,M,,,"Lily Lake, 0.25 mi W of Gold Lakes Rd , Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,71.1,588,,190,2.67214874,58.8,0.86507,86.507,19
CRF 4095,4095,CRF,Thamnophis,couchii,Plumas,California,39.717727,-120.659984,12-Jul-24,F,,,"Lily Lake, 0.25 mi W of Gold Lakes Rd , Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,60.2,541,,168,1.947872954,54.1,1.07674,107.674,16.8
CRF 4096,4096,CRF,Thamnophis,couchii,Plumas,California,39.717727,-120.659984,12-Jul-24,M,,,"Lily Lake, 0.25 mi W of Gold Lakes Rd , Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,91.9,616,,51,22.98933194,61.6,0.90356,90.356,5.1
CRF 4097,4097,CRF,Thamnophis,couchii,Plumas,California,39.717727,-120.659984,12-Jul-24,M,,,"Lily Lake, 0.25 mi W of Gold Lakes Rd , Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,17,370,,128,6.233887643,37,1.18533,118.533,12.8
CRF 4098,4098,CRF,Thamnophis,couchii,Plumas,California,39.717727,-120.659984,12-Jul-24,M,,,"Lily Lake, 0.25 mi W of Gold Lakes Rd , Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,90.9,496,,27,2.981751757,49.6,0.81804,81.804,2.7
CRF 4099,4099,CRF,Thamnophis,couchii,Plumas,California,39.717727,-120.659984,12-Jul-24,M,,,"Lily Lake, 0.25 mi W of Gold Lakes Rd , Plumas National Forest, Plumas Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,62.2,520,,173,2.018295359,52,0.92555,92.555,17.3
CRF 4100,4100,CRF,Thamnophis,couchii,El Dorado,California,38.973455,-120.391555,15-Jul-24,F,,,"Gerle Creek Reservoir, at inflow of Gerle Creek, Tahoe National Forest, El Dorado Co., CA",C.R. Feldman,,,,,,,,,,,,,,,,,,,,,,10,296,,93,1.40525917,29.6,1.07674,107.674,9.3
