species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b,log_MAMU,E_allele,P_allele,N_allele,T_allele,L_allele,V1_allele,V2_allele,A_allele
Thamnophis couchii,12.02,CRF2335,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,35.8,NA,NA,0.617,13.9,T,T,2.63188884,0,0,0,2,0,0,0,0
Thamnophis couchii,12.021,CRF2336,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,4.9,NA,NA,1.067,50,T,T,3.912023005,0,0,0,2,0,0,0,0
Thamnophis couchii,12.022,CRF2337,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,5.1,NA,NA,1.042,50,T,T,3.912023005,0,0,0,2,0,0,0,0
Thamnophis couchii,12.023,CRF2338,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,5.4,NA,NA,0.911,15,T,T,2.708050201,0,0,0,2,0,0,0,0
Thamnophis couchii,12.024,CRF2339,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,4.9,NA,NA,0.845,NA,T,T,NA,0,0,0,2,0,0,0,0
Thamnophis couchii,12.025,CRF2340,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,50.6,NA,NA,0.544,15.8,T,T,2.76000994,0,0,0,2,0,0,0,0
Thamnophis couchii,12.026,CRF2341,N Fork Feather River,N Fork Feather River,NA,NA,NA,5.5,NA,NA,0.982,4.73,T,T,1.553925203,0,0,0,2,0,0,0,0
Thamnophis couchii,12.027,CRF2342,N Fork Feather River,N Fork Feather River,NA,NA,NA,6.2,NA,NA,0.902,6.38,T,T,1.853168097,0,0,0,2,0,0,0,0
Thamnophis couchii,12.03,CRF2346,N Fork Mokelumne River,N Fork Mokelumne River,NA,NA,NA,5.9,NA,NA,0.848,7.3,T,T,1.987874348,0,0,0,2,0,0,0,0
Thamnophis couchii,15.35,CRF2630,Deep Creek,Deep Creek,Fresno,NA,NA,6.8,NA,NA,1.049,100,T,T,4.605170186,0,0,0,2,0,0,0,0
Thamnophis couchii,15.36,CRF2631,Deep Creek,Deep Creek,Fresno,NA,NA,22.8,NA,NA,0.84,175,T,T,5.164785974,0,0,0,2,0,0,0,0
Thamnophis couchii,15.22,CRF2669,Canyon Creek,Canyon Creek,Nevada,NA,NA,19.9,NA,NA,0.731,82.5,T,T,4.412798293,0,0,0,2,0,0,0,0
Thamnophis couchii,15.23,CRF2670,Canyon Creek,Canyon Creek,Nevada,NA,NA,7.2,NA,NA,0.877,82,T,T,4.406719247,0,0,0,2,0,0,0,0
Thamnophis couchii,15.24,CRF2671,Canyon Creek,Canyon Creek,Nevada,NA,NA,50.9,NA,NA,0.592,17,T,T,2.833213344,0,0,0,2,0,0,0,0
