species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus, XZ05 ,EDBJR 23096,Santa Lucia,south_bay,NA,NA,neonate,2.34,17.8,NA,0.4677,25,WT,N
Thamnophis atratus, XZ08 ,EDBJR 23099,Santa Lucia,south_bay,NA,NA,neonate,1.9,17.3,NA,0.4058,25,WT,N
Thamnophis atratus, YD06 ,EDBJR 23151,Santa Lucia,south_bay,NA,NA,neonate,2.01,17.2,NA,0.3987,8.4,WT,N
Thamnophis atratus, YD07 ,EDBJR 23152,Santa Lucia,south_bay,NA,NA,neonate,2.2,16.7,NA,0.4413,9,WT,N
Thamnophis atratus, YD08 ,EDBJR 23153,Santa Lucia,south_bay,NA,NA,neonate,1.96,15.7,NA,0.4808,9,WT,N
Thamnophis atratus, YD12 ,EDBJR 23157,Santa Lucia,south_bay,NA,NA,neonate,2,16.5,NA,0.3968,8,WT,N
Thamnophis atratus, YH01 ,EDBJR 23189,Santa Lucia,south_bay,NA,NA,neonate,3.48,20.4,NA,0.4634,25,WT,N
Thamnophis atratus, YH04 ,EDBJR 23191,Santa Lucia,south_bay,NA,NA,neonate,3.26,19.5,NA,0.4421,25,WT,N
Thamnophis atratus, YK02 ,EDBJR 23204,Santa Lucia,south_bay,NA,NA,neonate,3.06,17.8,NA,0.3949,6.5,WT,N
Thamnophis atratus, YK05 ,EDBJR 23207,Santa Lucia,south_bay,NA,NA,neonate,3.36,19.2,NA,0.5066,7.7,WT,N
Thamnophis atratus, YT02 ,EDBJR 23230,Santa Lucia,south_bay,NA,NA,neonate,2.95,17.8,NA,0.5206,25,WT,N
Thamnophis atratus, YV12 ,EDBJR 23248,Santa Lucia,south_bay,NA,NA,neonate,2.02,17.2,NA,0.4348,25,WT,N
Thamnophis atratus, YX03 ,NA,Santa Lucia,south_bay,NA,NA,neonate,4.73,19.7,NA,0.4885,84,WT,N
Thamnophis atratus, YY02 ,EDBJR 23289,Santa Lucia,south_bay,NA,NA,neonate,3.9,19.5,NA,0.5339,5.4,WT,N
Thamnophis atratus,12.008,CRF 2305,Zim Zim Creek,north_bay,NA,M,neonate,4.2,NA,NA,0.5115,14.8,P,P
Thamnophis atratus,12.009,CRF 2306,Zim Zim Creek,north_bay,NA,F,subadult,6.4,NA,NA,0.5543,2.75,P,P
Thamnophis atratus,12.01,CRF 2307,Zim Zim Creek,north_bay,NA,F,subadult,9.9,NA,NA,0.6305,6.8,P,P
Thamnophis atratus,12.011,CRF 2308,Zim Zim Creek,north_bay,NA,F,adult,46.3,NA,NA,0.9058,4.8,P,P
Thamnophis atratus,12.013,CRF 2310,Zim Zim Creek,north_bay,NA,F,adult,44,NA,NA,0.8137,7.05,P,P
Thamnophis atratus,13.001,CRF 2352,Fiske Creek,nor_coast,NA,NA,adult,52,NA,NA,0.8104,4.1,P,P
Thamnophis atratus,13.002,CRF 2353a,Fiske Creek,nor_coast,NA,NA,adult,42.6,NA,NA,0.5938,7.8,P,P
Thamnophis atratus,13.003,CRF 2353b,Fiske Creek,nor_coast,NA,NA,adult,35.9,NA,NA,0.6325,7.2,P,P
Thamnophis atratus,13.004,CRF 2407,Euticuera Creek,north_bay,NA,NA,adult,67.3,NA,NA,0.5764,3.25,NA,NA
Thamnophis atratus,13.005,CRF 2408,Euticuera Creek,north_bay,NA,NA,adult,40.7,NA,NA,0.62189,20.5,NA,NA
Thamnophis atratus,13.006,CRF 2409,Euticuera Creek,north_bay,NA,NA,subadult,6.3,NA,NA,0.4664,12.5,P,P
Thamnophis atratus,13.007,CRF 2412,Zim Zim Creek,north_bay,NA,NA,neonate,3.8,NA,NA,0.5453,4.6,P,P
Thamnophis atratus,13.027,CRF 2436,Black Butte,nor_coast,NA,NA,adult,39.3,NA,NA,0.5698,6.6,P,P
Thamnophis atratus,13.028,CRF 2437,Black Butte,nor_coast,NA,NA,adult,23.2,NA,NA,0.7008,7.1,P,P
Thamnophis atratus,13.032,CRF 2441,Black Butte,nor_coast,NA,NA,adult,66.8,NA,NA,0.5734,16.2,P,P
Thamnophis atratus,13.033,CRF 2447,Howard Lk.,nor_coast,NA,NA,adult,72.7,NA,NA,0.7278,3.2,P,P
Thamnophis atratus,13.035,CRF 2449,Howard Lk.,nor_coast,NA,NA,subadult,9.3,NA,NA,0.565,15.1,P,P
Thamnophis atratus,13.036,CRF 2450,Howard Lk.,nor_coast,NA,NA,neonate,5.2,NA,NA,0.5342,6.9,P,P
Thamnophis atratus,13.037,CRF 2451,Howard Lk.,nor_coast,NA,NA,subadult,10.2,NA,NA,0.4831,13.3,P,P
Thamnophis atratus,13.038,CRF 2452,Howard Lk.,nor_coast,NA,NA,neonate,4.4,NA,NA,0.4535,7,P,P
Thamnophis atratus,13.039,CRF 2453,Howard Lk.,nor_coast,NA,NA,neonate,5.6,NA,NA,0.5504,12.3,P,P
Thamnophis atratus,13.04,CRF 2454,Howard Lk.,nor_coast,NA,NA,neonate,5.3,NA,NA,0.4647,11.2,P,P
Thamnophis atratus,13.041,CRF 2455,Howard Lk.,nor_coast,NA,NA,neonate,3.6,NA,NA,0.4742,7.3,P,P
Thamnophis atratus,13.042,CRF 2456,Howard Lk.,nor_coast,NA,NA,subadult,6.2,NA,NA,0.4462,7.8,P,P
Thamnophis atratus,15.39,CRF 2588,Euticuera Creek,north_bay,NA,NA,subadult,14.2,NA,NA,0.62854,14.5,P,P
Thamnophis atratus,15.4,EJE125,Mines Riverad,south_bay,NA,NA,adult,63.6,NA,NA,0.54407,250,EPN,EPN
Thamnophis atratus,15.41,EJE126,Mines Riverad,south_bay,NA,NA,adult,56.6,NA,NA,0.76746,250,EPN,EPN
Thamnophis atratus,15.5,CRF 2716,Van Duzen River,nor_coast,NA,NA,subadult,8.8,NA,NA,0.52549,3.87,P,P
Thamnophis atratus,15.51,CRF 2719,Van Duzen River,nor_coast,NA,NA,adult,30.1,NA,NA,0.668,4.06,P,P
Thamnophis atratus,15.53,CRF 2720,Van Duzen River,nor_coast,NA,NA,subadult,19,NA,NA,0.57537,16.4,P,P
Thamnophis atratus,15.54,CRF 2717,Van Duzen River,nor_coast,NA,NA,subadult,12.5,NA,NA,0.56625,3.82,P,P
Thamnophis atratus,15.55,CRF 2718,Van Duzen River,nor_coast,NA,NA,subadult,10.8,NA,NA,0.50968,3.08,P,P
Thamnophis atratus,16.04,CRF 3008,Carson Falls,north_bay,NA,NA,neonate,3.1,NA,NA,0.3788,2.4,NA,NA
Thamnophis atratus,16.06,CRF 3012,Zim Zim Creek,north_bay,NA,NA,adult,28.4,NA,NA,0.7752,5.5,P,P
Thamnophis atratus,16.07,CRF 3013,Zim Zim Creek,north_bay,NA,NA,adult,31.5,NA,NA,0.7564,2.85,NA,NA
Thamnophis atratus,16.08,CRF 3014,Zim Zim Creek,north_bay,NA,NA,adult,24.7,NA,NA,0.7547,3.95,NA,NA
Thamnophis atratus,16.09,CRF 3015,Zim Zim Creek,north_bay,NA,NA,adult,33.7,NA,NA,0.6748,6.6,NA,NA
Thamnophis atratus,16.1,CRF 3016,Zim Zim Creek,north_bay,NA,NA,adult,27.4,NA,NA,0.7819,6.3,NA,NA
Thamnophis atratus,16.104,CRF 3081,Montara Beach,south_bay,NA,NA,adult,28,NA,NA,0.5903,1.4,NA,NA
Thamnophis atratus,16.105,CRF 3082,Montara Beach,south_bay,NA,NA,subadult,7.9,NA,NA,0.3926,3.05,NA,NA
